	Unnamed: 0	lemme	freqlemlivres	freqlemlivres_cumsum	freqlemlivres_cumsumpercent
179	121190	soir	562.64	577539.0199999999	57.75390199999999
180	104085	quelque	557.77	578096.7899999999	57.809679
181	84378	mot	553.78	578650.57	57.86505699999999
182	35651	depuis	542.64	579193.21	57.919321
183	117205	s'	538.11	579731.32	57.97313199999999
184	36061	devenir	533.51	580264.83	58.026483
185	135484	vieux	512.91	580777.74	58.077774
186	52898	eux	504.26	581282.0	58.1282
187	22500	cet	497.5	581779.5	58.17795
188	79176	maintenant	496.76	582276.26	58.227626
189	90996	ouvrir	492.5	582768.76	58.276876
190	112111	revenir	490.54	583259.3	58.32593000000001
191	17448	bras	487.97	583747.27	58.374727
192	95562	pied	486.42	584233.6900000001	58.42336900000001
193	23016	chaque	486.35	584720.04	58.47200400000001
194	92690	partir	485.68	585205.7200000001	58.52057200000001
195	67845	ici	483.58	585689.3	58.56893
196	87509	noir	482.23	586171.53	58.617153
197	31516	corps	480.34	586651.87	58.665187
198	98359	porter	474.93	587126.8	58.71268000000001
199	4030	ainsi	469.46	587596.26	58.759626
200	20951	car	469.32	588065.58	58.806558
201	96434	place	468.58	588534.1599999999	58.85341599999999
202	109837	rendre	468.11	589002.2699999999	58.900226999999994
203	116019	répondre	466.76	589469.0299999999	58.94690299999999
204	99489	presque	465.54	589934.57	58.99345699999999
205	7429	appeler	465.34	590399.9099999999	59.03999099999999
206	8913	arrêter	462.5	590862.4099999999	59.086241
207	13982	beaucoup	461.42	591323.83	59.132383
208	135921	vivre	460.34	591784.1699999999	59.178417
209	46869	eau	459.86	592244.0299999999	59.22440299999999
210	128234	terre	452.91	592696.94	59.269694
211	84291	mort	452.7	593149.6399999999	59.31496399999999
212	77658	loin	452.36	593601.9999999999	59.36019999999999
213	129109	toi	450.34	594052.34	59.40523399999999
214	93958	pendant	450.14	594502.4799999999	59.45024799999999
215	23632	chercher	448.99	594951.47	59.49514699999999
216	92079	paraître	448.11	595399.5799999997	59.539957999999984
217	38304	donc	445.88	595845.4599999997	59.58454599999998
218	77696	long	444.86	596290.3199999997	59.62903199999998
219	129200	tomber	441.42	596731.7399999999	59.67317399999999
220	76610	lever	440.74	597172.4799999999	59.717247999999984
221	49560	enfin	440.27	597612.7499999999	59.76127499999999
222	127169	tant	436.42	598049.1699999999	59.80491699999999
223	15118	blanc	430.54	598479.71	59.847971
224	136832	vrai	430.07	598909.7799999999	59.89097799999999
225	136647	votre	427.91	599337.69	59.93376899999999
226	76592	leur	427.5	599765.19	59.976519
227	108524	regard	423.18	600188.37	60.018837
228	27120	commencer	421.89	600610.26	60.061026
229	9455	assez	420.14	601030.4	60.10304
230	56731	finir	417.97	601448.37	60.144837
231	112039	retrouver	416.22	601864.59	60.186459
232	22698	chambre	413.31	602277.9	60.22779
233	126644	sûr	412.97	602690.87	60.269087
234	75465	l'	412.57	603103.44	60.31034399999999
235	61682	gens	409.39	603512.83	60.351283
236	98543	poser	409.05	603921.88	60.392188
237	83835	monter	404.59	604326.47	60.432647
238	5426	amour	403.92	604730.39	60.473039
239	35674	dernier	403.11	605133.5	60.51335
240	26263	coeur	400.74	605534.24	60.553424
241	93756	peine	399.53	605933.77	60.593377
242	49982	entrer	398.38	606332.15	60.633215
243	82414	mieux	398.38	606730.53	60.673053
244	17017	bout	398.11	607128.64	60.712864
245	120048	seulement	397.97	607526.61	60.752661
246	81071	matin	396.76	607923.37	60.792337
247	36403	dieu	396.49	608319.86	60.831986
248	9412	asseoir	395.27	608715.13	60.871513
249	87558	nom	395.0	609110.13	60.911013
250	81932	mourir	391.08	609501.21	60.950121
251	128817	tirer	383.24	609884.45	60.988445
252	104317	quoi	380.07	610264.5199999999	61.02645199999999
253	126698	table	379.8	610644.32	61.064432
254	94249	perdre	377.36	611021.6799999999	61.10216799999999
